INFORMACIÓN GENERAL ESTACIONES,,,,,,,,,NORMAL CLIMATOLÓGICA ESTÁNDAR DE No DE DÍAS CON LLUVIA ≥ 1 mm PARA EL PERIODO 1991-2020,,,,,,,,,,,,,  Cumplen la directriz No 1203 del 2017 de la OMM,
CODIGO,CATEGORIA,ESTACIÓN,MUNICIPIO,DEPARTAMENTO,AO,ALTITUD (m),LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL, Número de meses,% de cumplimiento
47040040,PM,Remolino,Puerto Alegría,Amazonas,7,130,"-73,62","-1,26","13,1","13,7","17,5","19,9","20,9","20,7","18,4","14,4","13,3","15,1","14,5","16,3","197,7",347,"96,4%"
47087010,PM,Arica - R. Putumayo ,Puerto Arica,Amazonas,11,115,"-71,75","-2,15","14,4","14,2","16,4","17,0","17,1","16,2","15,4","12,0","11,7","12,3","12,9","14,5","174,2",311,"86,4%"
48015040,CP,Puerto Nariño - AUT ,Puerto Nariño,Amazonas,11,158,"-70,36","-3,78","17,1","14,9","14,7","14,7","14,7","12,5","9,5","8,0","10,5","11,4","11,1","17,3","156,4",347,"96,4%"
44150010,PM,Aguazul,Santander (Araracuara),Amazonas,4,129,"-72,14","-0,56","17,0","16,5","21,0","23,3","25,1","24,8","23,0","20,8","19,0","17,6","17,0","17,8","242,9",296,"82,0%"
44137070,LM,Monochoa,Santander (Araracuara),Amazonas,4,133,"-72,55","-0,70","11,8","12,9","16,5","18,9","21,5","21,4","20,5","17,3","16,2","15,1","14,9","14,0","201,0",311,"86,0%"
44167020,LM,Santa Isabel,Santander (Araracuara),Amazonas,4,118,"-71,12","-1,10","15,3","14,8","18,0","17,3","19,5","19,2","17,1","14,7","13,6","13,8","14,8","16,8","195,0",322,"89,4%"
47100010,PM,Tarapaca,Tarapacá,Amazonas,11,100,"-69,74","-2,89","18,5","17,5","18,3","17,5","18,4","15,5","13,4","10,3","12,0","13,0","14,7","19,0","188,1",341,"94,7%"
26180160,PM,Abejorral,Abejorral,Antioquia,1,2450,"-75,43","5,79","10,7","10,8","16,9","17,2","17,5","12,6","11,2","12,2","15,7","19,6","19,8","13,7","177,8",354,"98,3%"
11110020,PG,Abriaquí,Abriaquí,Antioquia,1,1920,"-76,08","6,64","9,9","11,1","16,6","20,7","21,1","15,8","13,7","15,4","18,4","22,3","21,9","13,9","200,6",357,"99,2%"
23085030,CO,Alejandría,Alejandría,Antioquia,1,1712,"-75,14","6,38","13,8","14,0","19,9","23,7","24,7","19,6","18,6","20,4","23,3","25,5","22,5","18,2","244,2",359,"99,7%"
27010850,PM,Amalfi,Amalfi,Antioquia,1,1530,"-75,08","6,91","6,5","9,0","14,3","18,7","19,8","15,0","16,1","16,3","17,6","19,0","16,9","9,8","178,9",355,"98,6%"
27010890,PM,Cueva Santa,Amalfi,Antioquia,1,1550,"-75,04","6,96","5,9","7,9","13,4","19,7","21,1","18,0","18,4","18,2","18,7","20,6","17,4","9,6","188,7",343,"95,3%"
27010960,PM,Hacienda Monos,Amalfi,Antioquia,1,1100,"-74,90","6,90","5,4","7,1","11,5","17,8","19,9","16,3","16,4","16,3","15,9","16,8","13,7","8,3","165,3",323,"89,7%"
26195020,PM,Ita Andes,Andes,Antioquia,1,1180,"-75,88","5,69","9,8","10,6","16,1","19,6","21,2","17,8","16,2","16,5","19,2","19,9","18,6","13,4","199,1",338,"93,9%"
26190100,PM,Santa Bárbara,Andes,Antioquia,1,1250,"-75,90","5,56","12,3","13,0","18,7","21,4","23,1","19,9","18,1","19,1","20,6","22,4","21,7","16,2","226,7",348,"96,7%"
27020210,PM,Angostura,Angostura,Antioquia,1,1650,"-75,33","6,88","4,3","5,8","9,6","13,7","19,6","16,4","15,5","15,6","14,9","15,4","13,0","6,6","150,3",360,"100,0%"
27025030,CO,Anorí,Anorí,Antioquia,1,1601,"-75,15","7,07","7,5","8,8","14,5","19,2","22,8","21,1","21,5","21,0","21,0","22,1","19,3","12,7","211,3",346,"96,1%"
27020170,PM,Hacienda El Carmen,Anorí,Antioquia,1,950,"-75,08","7,15","6,1","7,5","13,2","17,4","20,3","17,2","17,1","17,5","18,4","19,0","15,6","9,3","178,7",346,"96,1%"
26210090,PM,Anza,Anzá,Antioquia,1,550,"-75,86","6,30","4,4","6,1","9,2","13,3","16,6","14,2","13,2","13,5","14,9","15,8","13,7","7,5","142,5",360,"100,0%"
12010070,PM,El Casco ,Apartadó,Antioquia,1,18,"-76,65","7,88","5,1","4,0","5,8","10,9","14,1","14,4","14,6","13,4","13,2","12,2","11,9","10,5","130,2",358,"99,4%"
12010060,PM,La Lorena ,Apartadó,Antioquia,1,10,"-76,69","7,86","4,5","3,0","5,6","9,8","11,5","12,5","12,6","12,4","12,1","11,5","11,1","9,0","115,7",354,"98,3%"
12015020,AM,Uniban,Apartadó,Antioquia,1,43,"-76,65","7,83","6,3","4,8","7,2","13,8","17,5","18,0","18,2","18,4","17,3","15,5","15,0","13,2","165,3",356,"98,9%"
12030020,PM,El Carmelo,Arboletes,Antioquia,2,50,"-76,38","8,62","1,7","1,1","2,7","6,5","9,0","6,8","7,3","8,0","7,5","7,4","6,8","4,1","68,8",344,"95,6%"
26200140,PM,Armenia,Armenia (Antioquia),Antioquia,1,1800,"-75,77","6,16","7,1","9,1","12,8","16,7","19,8","15,9","14,4","15,1","18,0","18,4","17,1","10,3","174,9",350,"97,2%"
27010800,PM,La Meseta  San Pedro,Bello,Antioquia,1,2600,"-75,61","6,40","7,0","7,6","12,8","15,6","17,4","13,4","13,0","13,5","15,2","18,7","17,0","10,8","162,0",360,"100,0%"
27010870,PM,Belmira,Belmira,Antioquia,1,2540,"-75,67","6,61","9,2","10,3","16,7","19,0","19,8","16,0","15,2","14,9","17,2","20,2","20,4","13,4","192,4",360,"100,0%"
26230220,PM,La Oculta ,Belmira,Antioquia,1,2300,"-75,64","6,78","11,3","11,9","18,9","20,8","23,4","19,6","18,7","17,9","19,4","23,8","22,8","15,5","224,0",358,"99,4%"
26190090,PM,Betania-Las Guacas,Betania,Antioquia,1,1600,"-75,98","5,76","11,7","12,8","16,9","20,1","22,4","17,6","16,3","16,5","18,7","21,4","19,5","14,7","208,7",359,"99,7%"
26210140,PM,Altamira,Betulia (Antioquia),Antioquia,1,232,"-75,95","6,22","5,7","7,3","10,7","14,1","15,9","12,3","11,8","11,7","14,3","15,5","14,0","8,2","141,4",357,"99,2%"
26230160,PG,Briceño,Briceño (Antioquia),Antioquia,1,1440,"-75,51","7,11","10,0","11,4","16,5","21,7","26,0","24,1","25,0","23,6","22,8","24,1","21,5","14,7","241,5",358,"99,4%"
26250030,PM,Cáceres,Cáceres,Antioquia,1,95,"-75,35","7,58","3,3","3,2","6,5","12,7","16,8","17,1","17,2","16,9","15,4","16,5","13,8","8,6","148,0",352,"97,8%"
26240100,PM,Guarumo-La Lucha,Cáceres,Antioquia,1,70,"-75,21","7,86","2,5","3,3","5,8","11,7","15,9","16,1","16,3","17,6","16,0","16,2","14,2","6,8","142,4",346,"96,1%"
26240090,PM,Puerto Bélgica,Cáceres,Antioquia,1,80,"-75,28","7,67","2,4","3,1","5,8","11,2","15,3","14,3","14,7","16,1","14,1","15,0","12,6","5,9","130,6",358,"99,4%"
26210070,PM,Caicedo,Caicedo,Antioquia,1,550,"-75,98","6,41","4,7","6,9","10,1","14,2","15,9","13,1","11,2","12,1","14,1","16,3","14,3","8,4","141,2",354,"98,3%"
27015260,AM,La Salada,Caldas (Antioquia),Antioquia,1,1923,"-75,62","6,05","11,3","11,6","17,5","20,5","21,9","17,4","15,4","16,3","19,6","22,5","22,3","16,1","212,5",353,"98,1%"
11115020,CO,Cañasgordas - Aut,Cañasgordas,Antioquia,1,1294,"-76,03","6,76","9,0","8,5","13,1","17,2","20,0","16,0","14,1","14,4","17,9","21,2","20,4","13,6","185,5",339,"94,2%"
26170180,PM,Caramanta,Caramanta,Antioquia,1,850,"-75,64","5,55","9,6","11,0","13,9","17,0","17,0","12,1","11,6","12,1","15,3","17,9","19,0","13,6","170,1",338,"93,9%"
12015070,SP,Aeropuerto Los Cedros,Carepa,Antioquia,1,41,"-76,72","7,82","6,1","5,5","9,3","14,4","17,5","18,8","18,8","18,4","17,2","15,5","15,3","13,3","170,2",359,"99,7%"
12010050,PM,La Toscana,Carepa,Antioquia,1,15,"-76,70","7,81","5,2","3,9","6,6","11,3","14,0","14,9","14,0","14,8","15,1","14,1","12,8","10,9","137,6",355,"98,6%"
12010090,PM,Trigana,Carepa,Antioquia,1,21,"-76,71","7,75","5,2","3,7","6,1","11,0","14,3","15,5","15,8","15,2","14,5","12,6","12,4","11,0","137,3",360,"100,0%"
23080650,PM,Campoalegre,Carmen De Viboral,Antioquia,1,1850,"-75,34","6,07","11,1","12,1","16,2","19,3","20,5","17,2","16,1","16,1","19,5","19,9","16,7","13,4","198,0",360,"100,0%"
25020370,PM,Hacienda La Moneda ,Caucasia,Antioquia,1,40,"-74,94","8,04","2,1","1,9","4,3","9,0","12,7","12,6","14,1","15,0","13,4","13,4","12,6","6,3","117,5",347,"96,4%"
26240160,PM,La Coquera ,Caucasia,Antioquia,1,49,"-75,20","7,96","1,8","2,3","5,5","9,3","14,0","15,1","15,1","16,3","14,5","15,0","12,4","5,6","126,8",355,"98,6%"
27040030,PM,La Esmeralda ,Caucasia,Antioquia,1,100,"-74,85","7,75","4,2","3,6","6,6","11,8","16,5","15,0","16,5","17,9","16,0","17,4","16,8","11,1","153,3",327,"90,8%"
25020530,PM,La Ilusión,Caucasia,Antioquia,1,500,"-75,09","8,03","2,0","2,3","5,3","11,0","14,7","15,3","15,9","17,3","14,5","15,1","13,4","6,5","133,3",360,"100,0%"
26240060,PM,Manizales,Caucasia,Antioquia,1,91,"-74,86","7,75","2,0","2,4","5,3","9,4","13,6","14,6","14,8","16,2","14,8","14,5","11,1","5,7","124,5",360,"100,0%"
12010030,PM,Barranquillita,Chigorodó,Antioquia,1,18,"-76,70","7,57","5,9","3,1","6,1","10,6","16,8","18,2","18,1","18,0","17,8","15,5","15,3","12,2","157,5",350,"97,2%"
11025010,CO,La Mansa ,Ciudad Bolívar,Antioquia,1,2018,"-76,08","5,88","12,7","13,2","17,0","20,4","21,4","18,3","16,7","16,9","19,3","22,1","20,2","15,6","213,7",351,"97,5%"
23080750,PM,Cocorna,Cocorná,Antioquia,1,1280,"-75,18","6,05","17,0","15,9","21,9","23,1","22,6","17,1","16,1","17,4","22,5","24,8","24,4","21,2","244,0",356,"98,9%"
23080740,PM,Concepción,Concepción (Antioquia),Antioquia,1,1280,"-75,26","6,40","10,1","11,9","17,4","20,9","22,4","18,3","17,2","18,0","20,7","22,0","19,2","13,1","211,0",360,"100,0%"
26215010,CO,Concordia,Concordia (Antioquia),Antioquia,1,2032,"-75,92","6,04","8,1","9,7","14,2","16,9","18,9","16,1","14,6","14,6","17,0","19,0","17,6","12,6","179,3",347,"96,4%"
26210080,PM,La Herradura,Concordia (Antioquia),Antioquia,1,620,"-75,87","6,10","4,2","5,7","8,8","11,0","13,3","10,9","10,9","10,0","11,8","12,6","11,7","7,6","118,2",356,"98,9%"
11110030,PM,Fuemia,Dabeiba,Antioquia,1,1046,"-76,25","6,86","4,4","3,0","5,9","9,5","16,1","13,4","11,6","10,3","12,4","15,0","13,5","7,2","122,1",348,"96,7%"
27010830,PM,San Isidro,Entrerrios,Antioquia,1,2320,"-75,52","6,56","7,3","8,9","14,7","18,1","21,4","18,8","19,0","17,7","18,8","19,9","17,5","10,8","192,9",360,"100,0%"
26200150,PM,Fredonia,Fredonia,Antioquia,1,1650,"-75,69","5,94","11,4","12,3","16,2","19,7","20,0","15,2","13,9","14,8","18,1","20,5","20,9","15,6","198,6",360,"100,0%"
11115040,CO,Musinga,Frontino,Antioquia,1,1396,"-76,20","6,78","10,6","10,8","14,6","21,0","24,2","21,2","20,6","20,6","22,5","23,9","23,3","17,6","230,9",355,"98,6%"
11110010,PM,Normal Santa Teresa,Frontino,Antioquia,1,1370,"-76,13","6,76","7,5","7,9","10,8","17,7","19,0","14,3","12,5","14,5","16,7","19,9","19,2","11,4","171,5",356,"98,9%"
26220090,PM,Giraldo,Giraldo,Antioquia,1,10,"-75,96","6,69","5,5","6,8","10,6","14,9","16,3","13,4","12,5","12,9","14,6","18,3","14,9","8,6","149,3",360,"100,0%"
27010820,PM,La Cuchilla,Girardota,Antioquia,1,1600,"-75,45","6,37","5,6","7,0","12,1","16,2","18,5","14,1","13,9","14,1","16,2","18,9","14,8","8,7","160,0",359,"99,7%"
27010900,PM,Gómez Plata,Gómez Plata,Antioquia,1,1850,"-75,22","6,68","7,3","8,4","13,8","18,5","20,7","16,1","16,2","17,0","19,0","19,0","16,2","10,9","183,0",360,"100,0%"
23080820,PM,Tafetanes,Granada (Antioquia),Antioquia,1,2180,"-75,12","6,15","15,9","16,3","21,2","24,0","23,2","19,0","18,3","20,4","23,5","24,5","23,6","19,7","249,7",310,"86,1%"
27010770,PM,El Chuscal,Heliconia,Antioquia,1,255,"-75,71","6,18","10,2","11,2","15,7","19,5","20,2","15,0","13,6","16,5","18,4","21,3","20,3","13,4","195,3",353,"98,1%"
26220100,PM,La Granja,Ituango,Antioquia,1,1950,"-75,73","7,25","4,2","4,8","8,2","14,1","20,2","18,8","19,1","17,7","17,5","19,5","15,8","8,7","168,5",360,"100,0%"
26220110,PM,Santa Rita,Ituango,Antioquia,1,2039,"-75,62","7,32","5,7","6,8","9,6","17,3","21,2","20,1","20,0","19,4","18,7","22,0","20,5","12,3","193,6",358,"99,4%"
26170190,PM,El Dique ,Jericó (Antioquia),Antioquia,1,1140,"-75,72","5,80","7,2","8,6","12,6","15,7","17,3","12,7","11,4","13,4","15,9","18,6","17,9","12,5","163,6",357,"99,2%"
26180220,PM,La Pintada,La Pintada,Antioquia,1,608,"-75,60","5,73","7,6","7,8","11,9","15,1","17,0","12,4","11,1","12,2","15,7","17,7","16,8","12,5","157,8",339,"94,2%"
26180170,PM,La Unión,La Unión (Antioquia),Antioquia,1,2530,"-75,38","6,00","10,4","11,2","14,9","18,9","21,3","16,1","15,4","15,0","18,8","20,3","17,7","12,7","192,6",354,"98,3%"
26185020,CO,Mesopotamia,La Unión (Antioquia),Antioquia,1,2408,"-75,32","5,89","17,1","17,7","22,1","22,8","23,8","20,2","18,1","18,8","22,6","23,8","22,3","19,8","249,2",360,"100,0%"
26230140,PM,La Placita ,Liborina,Antioquia,1,1250,"-75,76","6,72","7,5","9,2","13,8","19,3","19,7","14,0","13,1","14,1","17,4","19,2","17,8","10,5","175,6",356,"98,9%"
23080640,PM,Marinilla,Marinilla,Antioquia,1,2088,"-75,32","6,16","8,5","9,6","15,1","18,2","19,1","15,2","14,4","16,1","18,1","19,0","16,8","12,1","182,3",358,"99,4%"
27011110,PM,Astilleros,Medellín,Antioquia,1,2450,"-75,68","6,26","9,6","11,2","16,7","20,1","20,1","15,7","14,7","15,9","18,5","22,5","20,1","13,5","198,4",359,"99,7%"
26205080,ME,La Aldea,Medellín,Antioquia,1,1737,"-75,70","6,34","7,2","8,4","13,4","18,0","18,9","14,6","12,4","13,9","16,9","20,7","18,1","11,2","173,7",357,"99,2%"
27011120,PG,La Iguana,Medellín,Antioquia,1,2300,"-75,66","6,32","8,0","8,9","14,7","18,0","18,6","14,6","13,3","14,4","17,3","19,9","18,2","11,0","177,0",359,"99,7%"
27015330,SP,Olaya Herrera - AUT ,Medellín,Antioquia,1,1490,"-75,59","6,22","8,0","9,3","13,6","17,7","18,6","14,2","13,5","14,4","16,4","19,5","16,9","11,3","173,4",360,"100,0%"
27010810,CO,Santa Helena,Medellín,Antioquia,1,2550,"-75,52","6,20","9,0","9,8","14,3","17,7","18,2","13,9","12,7","14,4","17,6","20,3","19,8","12,1","179,8",355,"98,6%"
26180200,PM,Montebello,Montebello,Antioquia,1,560,"-75,54","5,95","9,8","10,2","15,3","18,2","19,2","13,9","11,4","12,7","16,4","22,4","22,3","14,3","186,0",357,"99,2%"
27030040,PM,El Guamo,Nechí,Antioquia,1,40,"-74,81","7,90","2,9","2,8","4,8","9,1","13,5","13,0","12,9","14,2","13,1","13,7","13,0","7,0","120,0",357,"99,2%"
25021480,PM,Radio La Esperanza ,Nechí,Antioquia,1,31,"-74,79","8,03","3,4","2,1","4,9","9,2","13,5","13,4","13,6","14,6","13,0","13,5","12,5","8,1","122,0",360,"100,0%"
26230010,PM,Olaya,Olaya,Antioquia,1,575,"-75,81","6,63","2,4","3,0","5,7","8,7","11,6","9,6","8,5","8,7","9,7","10,7","8,5","5,0","92,0",360,"100,0%"
23085110,CO,El Peñol,Peñol,Antioquia,1,1983,"-75,24","6,21","12,2","12,1","18,2","20,8","21,0","16,2","16,1","17,4","20,4","21,6","20,3","14,6","210,7",343,"95,3%"
26170150,PM,Pueblorrico,Pueblorrico,Antioquia,1,2100,"-75,84","5,79","7,8","9,0","13,7","16,3","18,4","14,9","12,6","13,5","16,3","18,4","17,3","11,5","169,8",360,"100,0%"
23090110,PM,Murillo,Puerto Berrío,Antioquia,8,130,"-74,40","6,60","3,7","4,5","8,5","12,8","14,3","11,2","11,2","12,7","14,9","14,0","10,7","6,1","124,5",357,"99,2%"
23090020,PM,Virginias,Puerto Berrío,Antioquia,1,975,"-74,68","6,39","5,6","6,4","10,3","14,2","14,3","11,4","10,5","11,6","14,7","15,0","12,3","7,6","134,2",356,"98,9%"
23175020,CO,Aeropuerto Otú,Remedios,Antioquia,1,643,"-74,72","7,01","5,4","6,2","9,0","15,2","17,8","15,5","16,7","17,2","17,1","18,3","15,7","9,1","163,2",333,"92,5%"
27030080,PM,La Cruzada ,Remedios,Antioquia,1,650,"-74,72","7,07","7,0","7,5","11,1","15,2","16,2","14,0","12,6","13,7","14,9","16,1","14,5","9,1","152,0",303,"84,2%"
23085270,SP,Aeropuerto Jose Maria Cordova - AUT ,Rionegro (Antioquia),Antioquia,1,2157,"-75,43","6,17","9,4","10,4","15,1","18,7","20,0","16,0","15,3","16,4","18,9","20,1","17,6","11,9","189,9",359,"99,7%"
26230200,PG,Sabanalarga,Sabanalarga (Antioquia),Antioquia,1,10,"-75,81","6,85","4,5","5,8","10,0","15,3","19,6","16,8","15,5","15,5","17,9","17,4","14,2","8,7","161,1",352,"97,8%"
26210110,PM,Peñalisa,Salgar,Antioquia,1,2100,"-75,86","5,93","7,0","7,9","11,6","15,0","17,4","14,7","13,0","13,0","14,7","16,6","15,0","10,2","156,2",358,"99,4%"
26230130,PM,Cruces Arriba,San Andrés (Antioquia),Antioquia,1,2805,"-75,62","6,89","6,2","8,0","13,2","19,2","21,1","16,2","15,8","15,6","17,9","21,6","18,1","9,6","182,5",343,"95,3%"
26230110,PM,San Andrés,San Andrés (Antioquia),Antioquia,1,1600,"-75,67","6,91","5,4","5,4","11,6","17,2","21,1","16,4","14,4","14,3","16,5","19,9","17,2","8,8","168,3",360,"100,0%"
23080810,PG,El Jordán,San Carlos (Antioquia),Antioquia,1,1950,"-74,83","6,25","7,9","9,3","14,1","19,0","19,6","16,1","14,7","15,6","18,6","19,8","17,4","12,0","184,1",315,"87,5%"
23085220,CP,San Carlos,San Carlos (Antioquia),Antioquia,1,1113,"-75,04","6,16","14,9","14,0","19,4","23,4","23,3","18,1","17,5","18,9","22,1","24,7","24,4","20,2","240,8",343,"95,3%"
23085140,CO,San Francisco,San Francisco (Antioquia),Antioquia,1,1325,"-75,10","5,96","16,2","15,1","20,7","21,7","22,1","16,7","16,8","18,2","22,5","24,4","24,6","20,4","239,3",355,"98,6%"
26230180,PM,Llanos de San Juan,San Jerónimo,Antioquia,1,1600,"-75,72","6,43","3,6","4,0","7,4","10,8","12,6","9,8","8,2","9,2","10,4","12,8","11,2","5,7","105,8",334,"92,8%"
12030010,PM,San Juan De Urabá,San Juan De Urabá,Antioquia,2,4,"-76,53","8,76","2,1","1,2","3,0","6,8","11,5","9,5","10,5","10,9","10,4","10,2","9,6","5,8","91,6",353,"98,1%"
23085080,CP,Granja Experiomental El Nus - AUT,San Roque,Antioquia,1,859,"-74,84","6,48","5,5","7,6","12,7","18,0","19,0","15,0","15,7","16,1","18,0","19,4","15,0","9,6","171,6",315,"87,5%"
23080760,PM,San Roque,San Roque,Antioquia,1,1435,"-75,02","6,49","8,6","9,3","15,0","20,0","21,2","16,4","16,3","17,5","19,8","21,4","18,8","13,2","197,5",357,"99,2%"
23085160,CO,Corrientes,San Vicente,Antioquia,1,1965,"-75,25","6,31","11,5","11,9","17,0","21,0","21,6","17,0","16,7","17,5","20,0","21,7","19,7","14,9","210,6",349,"96,9%"
26210130,PM,Guasabra,Santa Fe De Antioquia,Antioquia,1,1800,"-75,96","6,50","4,7","5,5","8,8","12,5","15,5","11,3","10,6","10,3","12,4","15,4","14,2","7,9","129,1",358,"99,4%"
26225030,AM,Hacienda Cotove ,Santa Fe De Antioquia,Antioquia,1,534,"-75,83","6,53","3,0","3,8","7,0","10,4","13,9","11,6","11,3","11,3","12,4","13,2","10,6","5,2","113,7",330,"91,7%"
27015110,CO,Aragón,Santa Rosa De Osos,Antioquia,1,2652,"-75,56","6,78","7,1","9,2","14,0","18,5","21,1","17,9","18,3","17,7","17,9","20,5","18,6","11,7","192,5",306,"85,0%"
27010880,PM,Montañitas,Santa Rosa De Osos,Antioquia,1,2630,"-75,39","6,70","7,3","9,5","15,1","20,7","22,3","18,6","18,4","18,2","19,5","20,7","17,0","10,6","197,8",360,"100,0%"
27010840,PM,San Pablo,Santa Rosa De Osos,Antioquia,1,1900,"-75,25","6,60","6,4","8,4","13,4","18,9","22,3","17,4","16,0","16,8","19,9","20,6","16,1","9,0","185,2",358,"99,4%"
27015190,CO,Guayabito,Santo Domingo,Antioquia,1,1440,"-75,15","6,54","10,3","11,2","16,8","21,4","23,6","18,1","18,0","19,4","21,2","23,8","21,0","15,2","219,8",358,"99,4%"
23080390,PG,Santo Domingo,Santo Domingo,Antioquia,1,2100,"-75,16","6,47","10,7","10,9","17,4","21,8","23,1","18,0","16,8","19,1","20,6","23,0","19,7","13,8","214,7",346,"96,1%"
23080920,PM,Santuario,Santuario (Antioquia),Antioquia,1,2138,"-75,27","6,13","12,1","13,2","18,2","20,4","23,0","18,2","16,8","18,9","21,9","23,0","20,1","16,7","222,5",339,"94,2%"
27030140,PM,La Palma de Coco,Segovia,Antioquia,1,100,"-74,81","7,24","5,0","4,1","7,4","11,4","15,3","13,1","13,5","14,3","14,0","15,5","13,6","9,8","137,0",358,"99,4%"
27011100,PM,Las Brisas,Segovia,Antioquia,1,600,"-74,82","7,16","6,9","6,5","8,8","13,8","17,2","15,3","15,7","15,5","16,8","18,5","16,7","12,1","163,7",353,"98,1%"
23070010,PM,Claro de Luna,Sonsón,Antioquia,10,3347,"-74,76","5,86","4,8","6,3","10,0","13,3","12,6","9,7","9,1","9,9","12,2","14,4","12,4","7,4","122,1",343,"95,3%"
23070020,PG,Rio Claro,Sonsón,Antioquia,1,449,"-74,85","5,86","10,0","10,4","15,7","18,7","19,3","15,4","12,9","15,0","17,1","21,3","19,0","14,8","189,8",355,"98,6%"
23050100,PM,San Miguel,Sonsón,Antioquia,10,1751,"-74,73","5,73","6,8","7,8","13,4","16,1","15,9","11,4","9,9","11,2","13,7","17,6","15,4","10,7","149,9",343,"95,3%"
26180180,PG,Sonson,Sonsón,Antioquia,1,2180,"-75,29","5,72","14,9","15,2","20,3","20,8","22,1","16,3","15,1","15,3","20,6","22,3","21,2","16,9","221,0",359,"99,7%"
26175030,CP,La Granja Nacional ,Támesis,Antioquia,1,1153,"-75,69","5,72","8,3","10,0","13,3","16,9","18,3","13,9","12,0","12,9","16,2","19,1","19,2","13,0","172,9",359,"99,7%"
26250110,PM,Barro Blanco,Tarazá,Antioquia,1,190,"-75,26","7,47","5,0","4,0","7,6","12,9","16,5","15,7","15,4","15,8","15,6","17,5","15,9","9,3","151,2",356,"98,9%"
26240170,PM,Playalta,Tarazá,Antioquia,1,175,"-75,45","7,56","5,2","4,2","8,0","14,4","18,7","17,0","17,4","17,7","17,2","17,7","15,3","9,6","162,3",330,"91,7%"
26200120,PM,Otramina,Titiribí,Antioquia,1,515,"-75,79","6,07","6,1","7,9","11,2","14,6","17,7","13,6","12,2","13,4","15,3","15,6","15,9","9,2","152,7",355,"98,6%"
26235030,CO,Matanzas,Toledo (Antioquia),Antioquia,1,569,"-75,67","7,04","3,9","5,1","8,7","15,4","21,0","20,1","19,8","19,1","19,3","19,6","15,0","7,8","174,6",299,"83,1%"
12010010,PM,El Tormento ,Turbo,Antioquia,1,20,"-76,86","7,77","10,4","8,4","10,7","17,2","19,9","21,0","20,4","20,3","18,6","16,9","17,7","16,5","198,2",352,"97,8%"
12010100,PM,Eupol,Turbo,Antioquia,1,10,"-76,62","7,95","3,9","2,8","4,2","9,2","11,7","10,5","10,1","10,4","10,0","9,4","8,7","7,3","98,1",358,"99,4%"
12010110,PM,Prado Mar,Turbo,Antioquia,1,5,"-76,64","7,99","4,0","3,1","4,4","8,5","11,6","11,0","11,1","11,7","10,3","9,9","9,5","7,4","102,5",352,"97,8%"
